file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,simplicity,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff,gabor_0,gabor_15,gabor_30,gabor_45,gabor_60,gabor_75,gabor_90,gabor_105,gabor_120,gabor_135,gabor_150,gabor_165,EH_0,EH_1,EH_2,EH_3,EH_4,EH_5,EH_6,EH_7,EH_8,EH_9,EH_10,EH_11,EH_12,EH_13,EH_14,EH_15,EH_16
31,251,201,0.380088,0.833675,0.268161,0.310206,0.680399,0.440178,0.309706,0.6793,0.440233,0.0762505,0.711854,0.375885,0.293016,0.359407,0.226626,0.0670706,0,0.00699855,0.00701754,0,0,0,0,0.0426784,0.00875778,0,0.0210213,0,0,0,0,0,0,0,0.0260683,0.0868278,0.206195,0.217457,0.15759,0.286466,0.191636,0.238631,0.318358,0.0833718,0.356198,0.0564278,3,2,4,4,1,1,1,4,1,1,1,4,0,1,5,4,1
34,300,225,0.213411,0.317957,0.346198,0.338873,0.504881,0.308156,0.447715,0.667042,0.259917,0.0642002,0.458294,0.30134,0.29871,0.36704,0.230381,0.0649747,0,0,0,0,0,0,0,0.0621053,0.0106587,0,0.028125,0,0,0,0,0,0,0,0.0930313,0.133092,0.209218,0.216576,0.177755,0.260638,0.200053,0.230296,0.281973,0.130165,0.305254,0.112926,1,2,2,2,1,2,4,4,1,4,2,4,1,3,1,2,2
35,300,225,0.251242,0.209157,0.340582,0.335891,0.279627,0.360491,0.412866,0.343708,0.368405,0.113411,0.260537,0.344802,0.301163,0.37141,0.230916,0.0830057,0,0.010484,0.0105263,0,0,0,0,0.0830324,0.0157758,0,0.028125,0,0,0,0,0,0,0,0.145786,0.168644,0.211609,0.2159,0.193733,0.240825,0.206554,0.223715,0.253341,0.166958,0.266094,0.157086,4,1,3,2,4,4,3,2,1,1,1,3,3,1,1,2,1
36,300,225,0.250402,0.367133,0.318029,0.343745,0.50399,0.322163,0.405853,0.595051,0.307094,0.136227,0.464133,0.309883,0.309201,0.376655,0.241748,0.112532,0,0,0,0,0,0,0,0.124334,0.0210432,0,0.028125,0,0,0,0,0,0,0,0.0918246,0.131098,0.209324,0.216528,0.17771,0.2618,0.199708,0.230426,0.282149,0.129092,0.307436,0.111447,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,1,2
37,300,225,0.255082,0.283076,0.280491,0.338818,0.376001,0.312482,0.406101,0.450668,0.311609,0.0991647,0.349709,0.295563,0.311399,0.375609,0.247188,0.13432,0,0.00699902,0.00701754,0,0,0,0,0.0931293,0.0169326,0,0.028125,0,0,0,0,0,0,0,0.122229,0.152127,0.210715,0.21621,0.186703,0.250079,0.20357,0.226663,0.265955,0.150467,0.28426,0.136114,3,3,2,2,2,1,2,2,2,1,2,4,2,1,2,2,2
38,300,225,0.281579,0.41587,0.331339,0.340026,0.502192,0.322073,0.378395,0.558861,0.313783,0.0457312,0.473349,0.316051,0.310113,0.37381,0.246415,0.130589,0,0.00350413,0.00350877,0,0,0,0,0.109738,0.0191906,0,0.028125,0,0,0,0,0,0,0,0.0892798,0.129929,0.209089,0.216615,0.176728,0.262429,0.199517,0.230735,0.283876,0.127471,0.308704,0.109615,3,1,2,2,1,3,2,2,3,1,1,3,1,1,1,1,1
39,300,225,0.286045,0.376705,0.359797,0.337447,0.4444,0.376515,0.376508,0.495841,0.374889,0.0479539,0.421653,0.362857,0.310697,0.375199,0.246194,0.127071,0,0.00350413,0.00350877,0,0,0,0,0.0387564,0.00732679,0,0.028125,0,0,0,0,0,0,0,0.103029,0.138908,0.209933,0.216432,0.181092,0.257425,0.201143,0.22897,0.276039,0.136921,0.29884,0.121281,2,5,4,1,2,2,4,2,2,4,4,2,5,4,4,2,2
40,300,225,0.195206,0.285261,0.327364,0.342206,0.500078,0.26948,0.462588,0.675995,0.198134,0.155389,0.446939,0.268877,0.314685,0.378642,0.250728,0.125043,0,0.0208875,0.0210526,0,0,0,0,0.117269,0.0233478,0,0.028125,0,0,0,0,0,0,0,0.095378,0.134676,0.209424,0.216526,0.178817,0.259785,0.200358,0.229895,0.279963,0.131865,0.303509,0.115695,1,2,2,2,3,3,2,4,2,2,2,4,3,2,2,2,2
41,300,225,0.246273,0.254691,0.27903,0.336041,0.347528,0.293593,0.417686,0.431963,0.289932,0.235174,0.322926,0.281408,0.32426,0.38819,0.26033,0.149483,0,0.00350421,0.00350877,0,0,0,0,0.133533,0.0230824,0,0.028125,0,0,0,0,0,0,0,0.129612,0.156822,0.21078,0.216136,0.189207,0.247492,0.204422,0.22579,0.261491,0.155355,0.279175,0.141732,2,2,2,1,3,3,1,4,1,2,3,4,1,2,3,2,2
42,300,225,0.251982,0.287643,0.291335,0.335527,0.383011,0.302492,0.41249,0.470866,0.29299,0.175107,0.357387,0.289425,0.328615,0.391319,0.26591,0.147852,0,0,0,0,0,0,0,0.116729,0.0197109,0,0.028125,0,0,0,0,0,0,0,0.1201,0.151401,0.210427,0.216252,0.185948,0.25046,0.203498,0.22692,0.267368,0.149064,0.285074,0.134838,2,2,2,2,1,2,4,2,1,1,2,2,4,1,2,2,2
