file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,aesthetics,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff
bin/data/videos_100/0001.mp4,1280,720,0.3471,121.626,23.3103,0.332409,116.478,22.7154,0.320492,112.303,21.2804,1,0.460774,0.0887127,0.801568,1,0.603137,0.2735,0,0.0529021,0.0536942,0.0254316,0.000952315,0,0.00318869,0.183538,0.0749251,0.499501,0.384,0,0,0.196853,0.0602502,0.742743,0.037762,0.104131
bin/data/videos_100/0002.mp4,1280,720,0.335751,75.8852,10.5462,0.330622,74.7259,10.261,0.333627,75.4052,8.33296,0.704844,0.294848,0.0391709,0.75559,0.949934,0.561245,1.8576,1,0.248478,0.267325,0.0268367,0.00172306,0.000380662,0.00435373,0.111339,0.0749251,0.499501,0.384,0,0,0.123355,0.0438558,0.8326,0.0209364,0.0697914
bin/data/videos_100/0003.mp4,1280,720,0.314,98.3896,37.6008,0.329486,103.242,38.8647,0.356514,111.711,47.5049,0.309677,0.402846,0.149549,0.635601,0.795573,0.475628,1.45385,1,0.287469,0.314426,0.0484805,0.00246867,0.00144718,0.00746782,0.099363,0.0749251,0.499501,0.384,0,0,0.722099,0.0903549,0.187402,0.488133,0.0535154
bin/data/videos_100/0004.mp4,1280,720,0.333471,218.414,22.4749,0.337246,220.886,21.8536,0.329283,215.671,17.6397,0.211591,0.861126,0.080857,0.605816,0.762111,0.44952,1.34274,1,0.0367759,0.0371899,0.26145,0.0132592,0.000636132,0.040974,0.119102,0.0625,0.416667,0.384,0,0,0.116945,0.0652763,0.817143,0,0.273318
bin/data/videos_100/0005.mp4,1280,406,0.312896,92.5586,9.99772,0.330868,97.8748,11.1476,0.356236,105.379,12.2436,1,0.380872,0.0421022,0.637332,0.803848,0.470816,1.60156,1,0.209189,0.223108,0.015738,0.00059234,0.000212675,0.00159048,0.131657,0.075,0.5,0.216533,0,0,0.353566,0.0567342,0.589488,0,0.0514555
bin/data/videos_100/0006.mp4,1280,720,0.38447,129.756,36.5936,0.331674,111.938,37.4326,0.283856,95.7998,38.7209,0.190562,0.452509,0.144091,0.623787,0.792569,0.455005,1.5239,1,0.202988,0.216168,0.296219,0.0317205,0.00124636,0.0095427,0.0819392,0.0749251,0.499501,0.384,0,0,0.592358,0.0450427,0.362184,0.208143,0.082843
bin/data/videos_100/0007.mp4,1280,720,0.359935,137.421,35.9047,0.310241,118.448,35.0343,0.329824,125.925,37.1432,0.395426,0.489959,0.137695,0.619813,0.794527,0.445099,1.44963,1,0.0220436,0.0221909,0.0151439,0.000633538,0.000504796,0.00179252,0.133504,0.0599401,0.3996,0.384,0,0,0.589119,0.0538823,0.356494,0.168097,0.0750845
bin/data/videos_100/0008.mp4,1280,720,0.356966,125.151,8.91174,0.496189,173.962,12.2725,0.146845,51.4831,9.87273,0.717477,0.570023,0.0350695,0.618304,0.79044,0.446169,1.38809,1,0.141888,0.148227,0.0620361,0.0017203,0,0.00426257,0.124845,0.075,0.5,0.384,0,0,0.353536,0.0684541,0.577479,0.00159067,0.0694319
bin/data/videos_100/0009.mp4,1280,720,0.316138,142.504,44.1965,0.333318,150.248,44.8221,0.350543,158.013,52.5147,0.14675,0.58348,0.171692,0.567076,0.7231,0.411052,1.23586,1,0.119785,0.124395,0.0201249,0.000793132,0,0.00212906,0.0804512,0.0749251,0.499501,0.384,0,0,0.599816,0.140219,0.259734,0.271571,0.154024
bin/data/videos_100/0010.mp4,1280,720,0.356361,116.795,51.3381,0.340803,111.696,50.1363,0.302836,99.2528,45.6324,0.392096,0.438296,0.194748,0.561823,0.721994,0.401651,1.19289,1,0.201801,0.215291,0.532828,0.0457461,0.00715488,0.0760849,0.0927363,0.0625,0.416667,0.384,0,0,0.506332,0.0881055,0.405143,0.164983,0.069519
