file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,aesthetics,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff
bin/data/videos_100/3_1(dog)_(1).mp4,640,480,0.333348,104.372,34.4857,0.333387,104.384,34.4889,0.333265,104.346,34.4889,0.193918,0.409318,0.135241,0.442332,0.511643,0.373021,0.659152,0,0.169745,0,0.098888,0.00772536,0.0103257,0.00882587,0.122138,0.0749251,0.499501,0.128,0.0142971,0.0122982,0.317348,0.220131,0.462124,0.0162828,0.0855472
bin/data/videos_100/3_1(dog)_(10).mp4,640,360,0.388442,108.773,34.7011,0.347613,97.3399,28.1425,0.263945,73.9109,26.5102,0.236576,0.384458,0.109785,0.443346,0.54529,0.341402,0.597677,0,0.186306,0.198648,0,0,0,0,0.0991381,0.0625,0.416667,0.096,0.0885878,0.0100554,0.556488,0.0517823,0.391207,0.376238,0.0455103
bin/data/videos_100/3_1(dog)_(11).mp4,640,360,0.37018,111.74,54.9037,0.345513,104.294,54.9839,0.284307,85.819,50.6851,0.240191,0.409351,0.212901,0.449068,0.575145,0.32299,0.553596,1,0.0708292,0.0725431,0.198295,0.0107485,0.00074129,0.0146456,0.0900025,0.0749251,0.499501,0.096,0.104893,0.0119654,0.550625,0.0589601,0.390045,0.210526,0.123905
bin/data/videos_100/3_1(dog)_(12).mp4,640,360,0.336009,78.9512,33.2397,0.330524,77.6624,27.8149,0.333467,78.354,27.8213,0.116541,0.306253,0.113167,0.387111,0.489218,0.285005,0.745908,1,0.277918,0.307901,0.0231008,0.00173738,0,0,0.047989,0.0625,0.416667,0.096,0.0497557,0.00610519,0.148208,0.0294504,0.821898,0.00133274,0.0378306
bin/data/videos_100/3_1(dog)_(13).mp4,640,360,0.326932,115.392,17.7259,0.338698,119.545,16.883,0.33437,118.017,19.3457,0.108639,0.463115,0.0680644,0.404266,0.519234,0.289297,0.586771,1,0.17701,0.188552,0.064688,0.00308734,0,0.01023,0.121258,0.0749251,0.499501,0.096,0.0506088,0.0916807,0.344903,0.195181,0.459537,0.00837138,0.181731
bin/data/videos_100/3_1(dog)_(14).mp4,640,640,0.34234,97.1329,2.73872,0.329155,93.392,2.42107,0.328506,93.2078,2.12644,0.0487391,0.37076,0.00971518,0.396458,0.507877,0.285038,0.556606,1,0.26141,0.287574,0,0,0,0,0.110953,0.0599401,0.3996,0.170667,0,0.00285008,0.0394685,0.0140982,0.944914,0,0.109165
bin/data/videos_100/3_1(dog)_(15).mp4,640,426,0.340452,84.5838,32.5316,0.338703,84.1493,26.6067,0.320846,79.7127,28.4216,0.0758783,0.328395,0.105605,0.395382,0.506007,0.284757,0.660305,1,0.120778,0.126083,0.0939086,0.00966361,0.0101523,0.00867921,0.0895051,0.0749251,0.499501,0.1136,0.0304569,0.0641705,0.626962,0.0782611,0.293508,0.00507614,0.0473421
bin/data/videos_100/3_1(dog)_(16).mp4,640,426,0.367785,76.5988,8.80018,0.334061,69.5751,8.02862,0.298155,62.0969,8.18739,0.17126,0.277624,0.0314079,0.414488,0.537513,0.291464,0.60255,1,0.142785,0.150143,0.120964,0.00559248,0.00153767,0.00902805,0.109315,0.0749251,0.499501,0.1136,0.255766,0.0750793,0.433392,0.100246,0.465849,0.00717581,0.0493487
bin/data/videos_100/3_1(dog)_(17).mp4,640,362,0.341275,101.627,17.0399,0.335264,99.8375,16.6674,0.323461,96.3228,15.9761,0.198322,0.392077,0.0654904,0.414525,0.537402,0.291648,0.623419,1,0.228522,0.247971,0.0121457,0.000563691,0,0.00131777,0.0640903,0.06,0.4,0.0965333,0,0.0116465,0.0822726,0.0161348,0.897544,0.00809717,0.0336039
bin/data/videos_100/3_1(dog)_(18).mp4,640,360,0.380608,93.0968,45.1231,0.330794,80.9122,49.574,0.288598,70.591,53.6915,0.051121,0.326816,0.187799,0.398644,0.521384,0.275904,0.571356,1,0.0526682,0.0536523,0.0645161,0.0069775,0.00806452,0.00789585,0.0812131,0.0749251,0.499501,0.096,0.101478,0.0200922,0.526662,0.0288221,0.443844,0,0.0537186
